,Room Type,Neighbourhood,Neighbourhood Group,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
183,Entire home/apt,Flatbush,Brooklyn,40.6437118992248,-73.9608819379845,127.279069767442,5.79457364341085,21.9883720930233,1.31782945736434,81.6744186046512
184,Private room,Flatbush,Brooklyn,40.6459209009009,-73.9602224024024,67.5945945945946,4.46546546546547,20.3783783783784,1.75975975975976,98.5885885885886
185,Shared room,Flatbush,Brooklyn,40.6447442857143,-73.959860952381,56.8571428571429,4.71428571428571,15.6190476190476,1.85714285714286,187.333333333333
186,Entire home/apt,Flatlands,Brooklyn,40.6257586486486,-73.9329110810811,194.486486486486,3.08108108108108,26.0540540540541,1.54054054054054,174.432432432432
187,Private room,Flatlands,Brooklyn,40.6253134090909,-73.9320268181818,73.8409090909091,2.11363636363636,19.4318181818182,2.13636363636364,221.75
188,Shared room,Flatlands,Brooklyn,40.62659,-73.93845,24.5,3,10,1.5,80
189,Entire home/apt,Fort Greene,Brooklyn,40.6895434098361,-73.9740797377049,193.767213114754,6.78360655737705,21.6032786885246,1.4655737704918,75.9311475409836
190,Private room,Fort Greene,Brooklyn,40.6914044827586,-73.9741156896552,80.9885057471264,9.05747126436782,22.3505747126437,5.36781609195402,116.603448275862
191,Shared room,Fort Greene,Brooklyn,40.688185,-73.974975,57,1.5,4.375,3.5,65.375
192,Entire home/apt,Fort Hamilton,Brooklyn,40.6186535714286,-74.0325610714286,117.964285714286,6.28571428571429,17.1785714285714,1.39285714285714,142.357142857143
193,Private room,Fort Hamilton,Brooklyn,40.61912,-74.0315526086956,66.4347826086957,6.47826086956522,10.3913043478261,1.56521739130435,168.565217391304
194,Shared room,Fort Hamilton,Brooklyn,40.61905,-74.0332066666667,79.6666666666667,1,8.33333333333333,1,147.333333333333
195,Entire home/apt,Gowanus,Brooklyn,40.6762585074627,-73.989516119403,205.014925373134,6.47014925373134,33.9925373134328,1.28358208955224,98.1044776119403
196,Private room,Gowanus,Brooklyn,40.6763614678899,-73.9876085321101,102.807339449541,4.55045871559633,27.4311926605505,4.36697247706422,151.146788990826
197,Shared room,Gowanus,Brooklyn,40.669815,-73.99261,40.5,1.5,82,1,162.5
198,Entire home/apt,Gravesend,Brooklyn,40.5954692,-73.9782868,120.76,10.92,24.6,1.96,119.44
199,Private room,Gravesend,Brooklyn,40.5977121428571,-73.9774707142857,64.9285714285714,3,20.9642857142857,2.28571428571429,122.321428571429
200,Shared room,Gravesend,Brooklyn,40.5909614285714,-73.9736828571429,30.7142857142857,6.28571428571429,9.57142857142857,7.78571428571429,174.428571428571
201,Entire home/apt,Greenpoint,Brooklyn,40.7278088636364,-73.9504491883117,189.722402597403,7.91396103896104,19.0243506493506,6.59090909090909,83.5405844155844
202,Private room,Greenpoint,Brooklyn,40.7283230997877,-73.950877388535,88.3205944798301,4.10615711252654,16.1932059447983,3.21868365180467,66.4458598726115
203,Shared room,Greenpoint,Brooklyn,40.7251894117647,-73.9454288235294,65.7058823529412,13.6470588235294,4.88235294117647,11.2941176470588,257.058823529412
204,Entire home/apt,Kensington,Brooklyn,40.6429409589041,-73.9756784931507,137.205479452055,5.12328767123288,11.8219178082192,1.23287671232877,66.2191780821918
205,Private room,Kensington,Brooklyn,40.6409617346939,-73.9758656122449,59.3775510204082,9.91836734693878,21.4897959183673,2.56122448979592,96.3571428571429
206,Shared room,Kensington,Brooklyn,40.6392775,-73.9721025,105,2.25,0.75,1.75,103.5
207,Entire home/apt,Manhattan Beach,Brooklyn,40.5794066666667,-73.9464733333333,109.666666666667,7,44.3333333333333,1.33333333333333,177.5
208,Private room,Manhattan Beach,Brooklyn,40.57924,-73.94672,85,3,69.5,1.5,290
209,Entire home/apt,Midwood,Brooklyn,40.6202542857143,-73.9601412244898,100.428571428571,12.9795918367347,15.4081632653061,1.36734693877551,72.1020408163265
210,Private room,Midwood,Brooklyn,40.6207409433962,-73.9595403773585,67.5849056603774,4.09433962264151,16.377358490566,1.33962264150943,119.603773584906
211,Shared room,Midwood,Brooklyn,40.6158314285714,-73.9573857142857,36.2857142857143,3.71428571428571,4.57142857142857,2.71428571428571,112.857142857143
212,Entire home/apt,Mill Basin,Brooklyn,40.6123825,-73.91585,179.75,2.25,17.25,1,290
213,Entire home/apt,Navy Yard,Brooklyn,40.69987,-73.973418,162.3,5.4,15.2,1.1,40.9
214,Private room,Navy Yard,Brooklyn,40.6997,-73.97523,125,2.5,24.75,1.75,69
215,Entire home/apt,Park Slope,Brooklyn,40.6740895027624,-73.9786743646409,205.720994475138,9.01657458563536,26.4723756906077,1.20718232044199,85.3232044198895
216,Private room,Park Slope,Brooklyn,40.6745560144928,-73.9795994202899,99.1376811594203,7.71739130434783,36.2971014492754,1.8695652173913,100.594202898551
217,Shared room,Park Slope,Brooklyn,40.6681,-73.97726,78,1,46,2,0
218,Entire home/apt,Prospect Heights,Brooklyn,40.6776105238095,-73.967948,210.947619047619,6.41428571428571,20.6761904761905,1.4952380952381,67.5952380952381
219,Private room,Prospect Heights,Brooklyn,40.6774534285714,-73.9682363571429,89.1142857142857,4.33571428571429,46.6642857142857,2.47857142857143,94.1357142857143
